endpoint,method,description,status,pic,story_point,sprint
/api/appgroupuser,POST,Insert data ke tabel appgroupuser.,todo,backend,1,sprint-1
/api/appgroupuser,GET,Ambil semua data dari tabel appgroupuser.,todo,backend,1,sprint-1
/api/appgroupuser/{record_id},GET,Ambil data appgroupuser berdasarkan record_id.,todo,backend,1,sprint-1
/api/appgroupuser/{record_id},PUT,Update data appgroupuser berdasarkan record_id.,todo,backend,1,sprint-1
/api/appgroupuser/{record_id},DELETE,Hapus data appgroupuser berdasarkan record_id.,todo,backend,1,sprint-1
/api/appotor,POST,Insert data ke tabel appotor.,todo,backend,1,sprint-1
/api/appotor,GET,Ambil semua data dari tabel appotor.,todo,backend,1,sprint-1
/api/appotor/{record_id},GET,Ambil data appotor berdasarkan record_id.,todo,backend,1,sprint-1
/api/appotor/{record_id},PUT,Update data appotor berdasarkan record_id.,todo,backend,1,sprint-1
/api/appotor/{record_id},DELETE,Hapus data appotor berdasarkan record_id.,todo,backend,1,sprint-1
/api/approle,POST,Insert data ke tabel approle.,todo,backend,1,sprint-1
/api/approle,GET,Ambil semua data dari tabel approle.,todo,backend,1,sprint-1
/api/approle/{record_id},GET,Ambil data approle berdasarkan record_id.,todo,backend,1,sprint-1
/api/approle/{record_id},PUT,Update data approle berdasarkan record_id.,todo,backend,1,sprint-1
/api/approle/{record_id},DELETE,Hapus data approle berdasarkan record_id.,todo,backend,1,sprint-1
/api/appuser,POST,Insert data ke tabel appuser.,todo,backend,1,sprint-1
/api/appuser,GET,Ambil semua data dari tabel appuser.,todo,backend,1,sprint-1
/api/appuser/{record_id},GET,Ambil data appuser berdasarkan record_id.,todo,backend,1,sprint-1
/api/appuser/{record_id},PUT,Update data appuser berdasarkan record_id.,todo,backend,1,sprint-1
/api/appuser/{record_id},DELETE,Hapus data appuser berdasarkan record_id.,todo,backend,1,sprint-1
/api/jnsdok,POST,Insert data ke tabel jnsdok.,todo,backend,1,sprint-1
/api/jnsdok,GET,Ambil semua data dari tabel jnsdok.,todo,backend,1,sprint-1
/api/jnsdok/{record_id},GET,Ambil data jnsdok berdasarkan record_id.,todo,backend,1,sprint-1
/api/jnsdok/{record_id},PUT,Update data jnsdok berdasarkan record_id.,todo,backend,1,sprint-1
/api/jnsdok/{record_id},DELETE,Hapus data jnsdok berdasarkan record_id.,todo,backend,1,sprint-1
/api/jnsgolongan,POST,Insert data ke tabel jnsgolongan.,todo,backend,1,sprint-1
/api/jnsgolongan,GET,Ambil semua data dari tabel jnsgolongan.,todo,backend,1,sprint-1
/api/jnsgolongan/{record_id},GET,Ambil data jnsgolongan berdasarkan record_id.,todo,backend,1,sprint-1
/api/jnsgolongan/{record_id},PUT,Update data jnsgolongan berdasarkan record_id.,todo,backend,1,sprint-1
/api/jnsgolongan/{record_id},DELETE,Hapus data jnsgolongan berdasarkan record_id.,todo,backend,1,sprint-1
/api/jnsguna,POST,Insert data ke tabel jnsguna.,todo,backend,1,sprint-1
/api/jnsguna,GET,Ambil semua data dari tabel jnsguna.,todo,backend,1,sprint-1
/api/jnsguna/{record_id},GET,Ambil data jnsguna berdasarkan record_id.,todo,backend,1,sprint-1
/api/jnsguna/{record_id},PUT,Update data jnsguna berdasarkan record_id.,todo,backend,1,sprint-1
/api/jnsguna/{record_id},DELETE,Hapus data jnsguna berdasarkan record_id.,todo,backend,1,sprint-1
/api/jnshist,POST,Insert data ke tabel jnshist.,todo,backend,1,sprint-1
/api/jnshist,GET,Ambil semua data dari tabel jnshist.,todo,backend,1,sprint-1
/api/jnshist/{record_id},GET,Ambil data jnshist berdasarkan record_id.,todo,backend,1,sprint-1
/api/jnshist/{record_id},PUT,Update data jnshist berdasarkan record_id.,todo,backend,1,sprint-1
/api/jnshist/{record_id},DELETE,Hapus data jnshist berdasarkan record_id.,todo,backend,1,sprint-1
/api/jnsjr,POST,Insert data ke tabel jnsjr.,todo,backend,1,sprint-1
/api/jnsjr,GET,Ambil semua data dari tabel jnsjr.,todo,backend,1,sprint-1
/api/jnsjr/{record_id},GET,Ambil data jnsjr berdasarkan record_id.,todo,backend,1,sprint-1
/api/jnsjr/{record_id},PUT,Update data jnsjr berdasarkan record_id.,todo,backend,1,sprint-1
/api/jnsjr/{record_id},DELETE,Hapus data jnsjr berdasarkan record_id.,todo,backend,1,sprint-1
/api/jnskatkendaraan,POST,Insert data ke tabel jnskatkendaraan.,todo,backend,1,sprint-1
/api/jnskatkendaraan,GET,Ambil semua data dari tabel jnskatkendaraan.,todo,backend,1,sprint-1
/api/jnskatkendaraan/{record_id},GET,Ambil data jnskatkendaraan berdasarkan record_id.,todo,backend,1,sprint-1
/api/jnskatkendaraan/{record_id},PUT,Update data jnskatkendaraan berdasarkan record_id.,todo,backend,1,sprint-1
/api/jnskatkendaraan/{record_id},DELETE,Hapus data jnskatkendaraan berdasarkan record_id.,todo,backend,1,sprint-1
/api/jnskendaraan,POST,Insert data ke tabel jnskendaraan.,todo,backend,1,sprint-1
/api/jnskendaraan,GET,Ambil semua data dari tabel jnskendaraan.,todo,backend,1,sprint-1
/api/jnskendaraan/{record_id},GET,Ambil data jnskendaraan berdasarkan record_id.,todo,backend,1,sprint-1
/api/jnskendaraan/{record_id},PUT,Update data jnskendaraan berdasarkan record_id.,todo,backend,1,sprint-1
/api/jnskendaraan/{record_id},DELETE,Hapus data jnskendaraan berdasarkan record_id.,todo,backend,1,sprint-1
/api/jnsmilik,POST,Insert data ke tabel jnsmilik.,todo,backend,1,sprint-1
/api/jnsmilik,GET,Ambil semua data dari tabel jnsmilik.,todo,backend,1,sprint-1
/api/jnsmilik/{record_id},GET,Ambil data jnsmilik berdasarkan record_id.,todo,backend,1,sprint-1
/api/jnsmilik/{record_id},PUT,Update data jnsmilik berdasarkan record_id.,todo,backend,1,sprint-1
/api/jnsmilik/{record_id},DELETE,Hapus data jnsmilik berdasarkan record_id.,todo,backend,1,sprint-1
/api/jnspajak,POST,Insert data ke tabel jnspajak.,todo,backend,1,sprint-1
/api/jnspajak,GET,Ambil semua data dari tabel jnspajak.,todo,backend,1,sprint-1
/api/jnspajak/{record_id},GET,Ambil data jnspajak berdasarkan record_id.,todo,backend,1,sprint-1
/api/jnspajak/{record_id},PUT,Update data jnspajak berdasarkan record_id.,todo,backend,1,sprint-1
/api/jnspajak/{record_id},DELETE,Hapus data jnspajak berdasarkan record_id.,todo,backend,1,sprint-1
/api/jnsplat,POST,Insert data ke tabel jnsplat.,todo,backend,1,sprint-1
/api/jnsplat,GET,Ambil semua data dari tabel jnsplat.,todo,backend,1,sprint-1
/api/jnsplat/{record_id},GET,Ambil data jnsplat berdasarkan record_id.,todo,backend,1,sprint-1
/api/jnsplat/{record_id},PUT,Update data jnsplat berdasarkan record_id.,todo,backend,1,sprint-1
/api/jnsplat/{record_id},DELETE,Hapus data jnsplat berdasarkan record_id.,todo,backend,1,sprint-1
/api/jnsprogresif,POST,Insert data ke tabel jnsprogresif.,todo,backend,1,sprint-1
/api/jnsprogresif,GET,Ambil semua data dari tabel jnsprogresif.,todo,backend,1,sprint-1
/api/jnsprogresif/{record_id},GET,Ambil data jnsprogresif berdasarkan record_id.,todo,backend,1,sprint-1
/api/jnsprogresif/{record_id},PUT,Update data jnsprogresif berdasarkan record_id.,todo,backend,1,sprint-1
/api/jnsprogresif/{record_id},DELETE,Hapus data jnsprogresif berdasarkan record_id.,todo,backend,1,sprint-1
/api/jnsranmor,POST,Insert data ke tabel jnsranmor.,todo,backend,1,sprint-1
/api/jnsranmor,GET,Ambil semua data dari tabel jnsranmor.,todo,backend,1,sprint-1
/api/jnsranmor/{record_id},GET,Ambil data jnsranmor berdasarkan record_id.,todo,backend,1,sprint-1
/api/jnsranmor/{record_id},PUT,Update data jnsranmor berdasarkan record_id.,todo,backend,1,sprint-1
/api/jnsranmor/{record_id},DELETE,Hapus data jnsranmor berdasarkan record_id.,todo,backend,1,sprint-1
/api/jnsstrurek,POST,Insert data ke tabel jnsstrurek.,todo,backend,1,sprint-1
/api/jnsstrurek,GET,Ambil semua data dari tabel jnsstrurek.,todo,backend,1,sprint-1
/api/jnsstrurek/{record_id},GET,Ambil data jnsstrurek berdasarkan record_id.,todo,backend,1,sprint-1
/api/jnsstrurek/{record_id},PUT,Update data jnsstrurek berdasarkan record_id.,todo,backend,1,sprint-1
/api/jnsstrurek/{record_id},DELETE,Hapus data jnsstrurek berdasarkan record_id.,todo,backend,1,sprint-1
/api/jnstarif,POST,Insert data ke tabel jnstarif.,todo,backend,1,sprint-1
/api/jnstarif,GET,Ambil semua data dari tabel jnstarif.,todo,backend,1,sprint-1
/api/jnstarif/{record_id},GET,Ambil data jnstarif berdasarkan record_id.,todo,backend,1,sprint-1
/api/jnstarif/{record_id},PUT,Update data jnstarif berdasarkan record_id.,todo,backend,1,sprint-1
/api/jnstarif/{record_id},DELETE,Hapus data jnstarif berdasarkan record_id.,todo,backend,1,sprint-1
/api/jnsumum,POST,Insert data ke tabel jnsumum.,todo,backend,1,sprint-1
/api/jnsumum,GET,Ambil semua data dari tabel jnsumum.,todo,backend,1,sprint-1
/api/jnsumum/{record_id},GET,Ambil data jnsumum berdasarkan record_id.,todo,backend,1,sprint-1
/api/jnsumum/{record_id},PUT,Update data jnsumum berdasarkan record_id.,todo,backend,1,sprint-1
/api/jnsumum/{record_id},DELETE,Hapus data jnsumum berdasarkan record_id.,todo,backend,1,sprint-1
/api/mapjnspendapatan,POST,Insert data ke tabel mapjnspendapatan.,todo,backend,1,sprint-1
/api/mapjnspendapatan,GET,Ambil semua data dari tabel mapjnspendapatan.,todo,backend,1,sprint-1
/api/mapjnspendapatan/{record_id},GET,Ambil data mapjnspendapatan berdasarkan record_id.,todo,backend,1,sprint-1
/api/mapjnspendapatan/{record_id},PUT,Update data mapjnspendapatan berdasarkan record_id.,todo,backend,1,sprint-1
/api/mapjnspendapatan/{record_id},DELETE,Hapus data mapjnspendapatan berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterab,POST,Insert data ke tabel masterab.,todo,backend,1,sprint-1
/api/masterab,GET,Ambil semua data dari tabel masterab.,todo,backend,1,sprint-1
/api/masterab/{record_id},GET,Ambil data masterab berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterab/{record_id},PUT,Update data masterab berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterab/{record_id},DELETE,Hapus data masterab berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterabdet,POST,Insert data ke tabel masterabdet.,todo,backend,1,sprint-1
/api/masterabdet,GET,Ambil semua data dari tabel masterabdet.,todo,backend,1,sprint-1
/api/masterabdet/{record_id},GET,Ambil data masterabdet berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterabdet/{record_id},PUT,Update data masterabdet berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterabdet/{record_id},DELETE,Hapus data masterabdet berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterbadan,POST,Insert data ke tabel masterbadan.,todo,backend,1,sprint-1
/api/masterbadan,GET,Ambil semua data dari tabel masterbadan.,todo,backend,1,sprint-1
/api/masterbadan/{record_id},GET,Ambil data masterbadan berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterbadan/{record_id},PUT,Update data masterbadan berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterbadan/{record_id},DELETE,Hapus data masterbadan berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterbank,POST,Insert data ke tabel masterbank.,todo,backend,1,sprint-1
/api/masterbank,GET,Ambil semua data dari tabel masterbank.,todo,backend,1,sprint-1
/api/masterbank/{record_id},GET,Ambil data masterbank berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterbank/{record_id},PUT,Update data masterbank berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterbank/{record_id},DELETE,Hapus data masterbank berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterbbm,POST,Insert data ke tabel masterbbm.,todo,backend,1,sprint-1
/api/masterbbm,GET,Ambil semua data dari tabel masterbbm.,todo,backend,1,sprint-1
/api/masterbbm/{record_id},GET,Ambil data masterbbm berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterbbm/{record_id},PUT,Update data masterbbm berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterbbm/{record_id},DELETE,Hapus data masterbbm berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterbendahara,POST,Insert data ke tabel masterbendahara.,todo,backend,1,sprint-1
/api/masterbendahara,GET,Ambil semua data dari tabel masterbendahara.,todo,backend,1,sprint-1
/api/masterbendahara/{record_id},GET,Ambil data masterbendahara berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterbendahara/{record_id},PUT,Update data masterbendahara berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterbendahara/{record_id},DELETE,Hapus data masterbendahara berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterflow,POST,Insert data ke tabel masterflow.,todo,backend,1,sprint-1
/api/masterflow,GET,Ambil semua data dari tabel masterflow.,todo,backend,1,sprint-1
/api/masterflow/{record_id},GET,Ambil data masterflow berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterflow/{record_id},PUT,Update data masterflow berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterflow/{record_id},DELETE,Hapus data masterflow berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterhapusdenda,POST,Insert data ke tabel masterhapusdenda.,todo,backend,1,sprint-1
/api/masterhapusdenda,GET,Ambil semua data dari tabel masterhapusdenda.,todo,backend,1,sprint-1
/api/masterhapusdenda/{record_id},GET,Ambil data masterhapusdenda berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterhapusdenda/{record_id},PUT,Update data masterhapusdenda berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterhapusdenda/{record_id},DELETE,Hapus data masterhapusdenda berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterhistory,POST,Insert data ke tabel masterhistory.,todo,backend,1,sprint-1
/api/masterhistory,GET,Ambil semua data dari tabel masterhistory.,todo,backend,1,sprint-1
/api/masterhistory/{record_id},GET,Ambil data masterhistory berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterhistory/{record_id},PUT,Update data masterhistory berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterhistory/{record_id},DELETE,Hapus data masterhistory berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterjabttd,POST,Insert data ke tabel masterjabttd.,todo,backend,1,sprint-1
/api/masterjabttd,GET,Ambil semua data dari tabel masterjabttd.,todo,backend,1,sprint-1
/api/masterjabttd/{record_id},GET,Ambil data masterjabttd berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterjabttd/{record_id},PUT,Update data masterjabttd berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterjabttd/{record_id},DELETE,Hapus data masterjabttd berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterjnspendapatan,POST,Insert data ke tabel masterjnspendapatan.,todo,backend,1,sprint-1
/api/masterjnspendapatan,GET,Ambil semua data dari tabel masterjnspendapatan.,todo,backend,1,sprint-1
/api/masterjnspendapatan/{record_id},GET,Ambil data masterjnspendapatan berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterjnspendapatan/{record_id},PUT,Update data masterjnspendapatan berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterjnspendapatan/{record_id},DELETE,Hapus data masterjnspendapatan berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterkabkota,POST,Insert data ke tabel masterkabkota.,todo,backend,1,sprint-1
/api/masterkabkota,GET,Ambil semua data dari tabel masterkabkota.,todo,backend,1,sprint-1
/api/masterkabkota/{record_id},GET,Ambil data masterkabkota berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterkabkota/{record_id},PUT,Update data masterkabkota berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterkabkota/{record_id},DELETE,Hapus data masterkabkota berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterkabkotaall,POST,Insert data ke tabel masterkabkotaall.,todo,backend,1,sprint-1
/api/masterkabkotaall,GET,Ambil semua data dari tabel masterkabkotaall.,todo,backend,1,sprint-1
/api/masterkabkotaall/{record_id},GET,Ambil data masterkabkotaall berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterkabkotaall/{record_id},PUT,Update data masterkabkotaall berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterkabkotaall/{record_id},DELETE,Hapus data masterkabkotaall berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterkaupt,POST,Insert data ke tabel masterkaupt.,todo,backend,1,sprint-1
/api/masterkaupt,GET,Ambil semua data dari tabel masterkaupt.,todo,backend,1,sprint-1
/api/masterkaupt/{record_id},GET,Ambil data masterkaupt berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterkaupt/{record_id},PUT,Update data masterkaupt berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterkaupt/{record_id},DELETE,Hapus data masterkaupt berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterkb,POST,Insert data ke tabel masterkb.,todo,backend,1,sprint-1
/api/masterkb,GET,Ambil semua data dari tabel masterkb.,todo,backend,1,sprint-1
/api/masterkb/{record_id},GET,Ambil data masterkb berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterkb/{record_id},PUT,Update data masterkb berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterkb/{record_id},DELETE,Hapus data masterkb berdasarkan record_id.,todo,backend,1,sprint-1
